certificateOfSale,parcel,saleDate
2022-C-000530,CERTIFIED,05/10/2023
2022-C-000531,CERTIFIED,05/10/2023
2022-C-000532,REDEEMED,
2022-C-000533,CERTIFIED,05/10/2023
2022-C-000534,CERTIFIED,05/10/2023
2022-C-000535,REDEEMED,
2022-C-000536,REDEEMED,
2022-C-000537,REDEEMED,
2022-C-000538,REDEEMED,
2022-C-000539,REDEEMED,
2022-C-000540,CERTIFIED,05/10/2023
2022-C-000541,REDEEMED,
2022-C-000542,REDEEMED,
2022-C-000543,CERTIFIED,05/10/2023
2022-C-000544,CERTIFIED,05/10/2023
2022-C-000545,CERTIFIED,05/10/2023
2022-C-000546,CERTIFIED,05/10/2023
2022-C-000547,CERTIFIED,05/10/2023
2022-C-000548,CERTIFIED,05/10/2023
2022-C-000549,CERTIFIED,05/10/2023
2022-C-000550,REDEEMED,
2022-C-000551,CERTIFIED,05/10/2023
2022-C-000552,REDEEMED,
2022-C-000553,CERTIFIED,05/10/2023
2022-C-000554,REDEEMED,
2022-C-000555,CERTIFIED,05/10/2023
2022-C-000556,REDEEMED,
2022-C-000557,REDEEMED,
2022-C-000558,REDEEMED,
2022-C-000559,CERTIFIED,05/10/2023
2022-C-000560,CERTIFIED,05/10/2023
2022-C-000561,CERTIFIED,05/10/2023
2022-C-000562,REDEEMED,
2022-C-000563,REDEEMED,
2022-C-000564,CERTIFIED,05/10/2023
2022-C-000565,CERTIFIED,05/10/2023
2022-C-000566,CERTIFIED,05/10/2023
2022-C-000567,REDEEMED,
2022-C-000568,REDEEMED,
2022-C-000569,REDEEMED,
2022-C-000570,CERTIFIED,05/10/2023
2022-C-000571,CERTIFIED,05/10/2023
2022-C-000572,CERTIFIED,05/10/2023
2022-C-000573,CERTIFIED,05/10/2023
2022-C-000574,REDEEMED,
2022-C-000575,CERTIFIED,05/10/2023
2022-C-000576,CERTIFIED,05/10/2023
2022-C-000577,REDEEMED,
2022-C-000578,CERTIFIED,05/10/2023
2022-C-000579,REDEEMED,
2022-C-000580,REDEEMED,
2022-C-000581,REDEEMED,
2022-C-000582,CERTIFIED,05/10/2023
2022-C-000583,CERTIFIED,05/10/2023
2022-C-000584,CERTIFIED,05/10/2023
2022-C-000585,CERTIFIED,05/10/2023
2022-C-000586,CERTIFIED,05/10/2023
2022-C-000587,CERTIFIED,05/10/2023
2022-C-000588,CERTIFIED,05/10/2023
2022-C-000589,REDEEMED,
2022-C-000590,CERTIFIED,05/10/2023
2022-C-000591,CERTIFIED,05/10/2023
2022-C-000592,CERTIFIED,05/10/2023
2022-C-000593,REDEEMED,
2022-C-000594,CERTIFIED,05/10/2023
2022-C-000595,CERTIFIED,05/10/2023
2022-C-000596,CERTIFIED,05/10/2023
2022-C-000597,REDEEMED,
2022-C-000598,CERTIFIED,05/10/2023
2022-C-000599,CERTIFIED,05/10/2023
2022-C-000600,CERTIFIED,05/10/2023
2022-C-000601,REDEEMED,
2022-C-000602,CERTIFIED,05/10/2023
2022-C-000603,CERTIFIED,05/10/2023
2022-C-000604,CERTIFIED,05/10/2023
2022-C-000605,REDEEMED,
2022-C-000606,CERTIFIED,05/10/2023
2022-C-000607,CERTIFIED,05/10/2023
2022-C-000608,CERTIFIED,05/10/2023
2022-C-000609,REDEEMED,
2022-C-000610,CERTIFIED,05/10/2023
2022-C-000611,CERTIFIED,05/10/2023
2022-C-000612,CERTIFIED,05/10/2023
2022-C-000613,CERTIFIED,05/10/2023
2022-C-000614,CERTIFIED,05/10/2023
2022-C-000615,REDEEMED,
2022-C-000616,CERTIFIED,05/10/2023
2022-C-000617,CERTIFIED,05/10/2023
2022-C-000618,REDEEMED,
2022-C-000619,CERTIFIED,05/10/2023
2022-C-000620,CERTIFIED,05/10/2023
2022-C-000621,CERTIFIED,05/10/2023
2022-C-000622,CERTIFIED,05/10/2023
2022-C-000623,CERTIFIED,05/10/2023
2022-C-000624,CERTIFIED,05/10/2023
2022-C-000625,REDEEMED,
2022-C-000626,REDEEMED,
2022-C-000627,REDEEMED,
2022-C-000628,REDEEMED,
2022-C-000629,CERTIFIED,05/10/2023
2022-C-000630,REDEEMED,
2022-C-000631,REDEEMED,
2022-C-000632,CERTIFIED,05/10/2023
2022-C-000633,REDEEMED,
2022-C-000634,REDEEMED,
2022-C-000635,CERTIFIED,05/10/2023
2022-C-000636,REDEEMED,
2022-C-000637,CERTIFIED,05/10/2023
2022-C-000638,CERTIFIED,05/10/2023
2022-C-000639,CERTIFIED,05/10/2023
2022-C-000640,CERTIFIED,05/10/2023
2022-C-000641,CERTIFIED,05/10/2023
2022-C-000642,CERTIFIED,05/10/2023
2022-C-000643,CERTIFIED,05/10/2023
2022-C-000644,REDEEMED,
2022-C-000645,REDEEMED,
2022-C-000646,CERTIFIED,05/10/2023
2022-C-000647,REDEEMED,
2022-C-000648,CERTIFIED,05/10/2023
2022-C-000649,REDEEMED,
2022-C-000650,CERTIFIED,05/10/2023
2022-C-000651,REDEEMED,
2022-C-000652,REDEEMED,
2022-C-000653,CERTIFIED,05/10/2023
2022-C-000654,CERTIFIED,05/10/2023
2022-C-000655,REDEEMED,
2022-C-000656,REDEEMED,
2022-C-000657,REDEEMED,
2022-C-000658,REDEEMED,
2022-C-000659,REDEEMED,
2022-C-000660,REDEEMED,
2022-C-000661,CERTIFIED,05/10/2023
2022-C-000662,CERTIFIED,05/10/2023
2022-C-000663,CERTIFIED,05/10/2023
2022-C-000664,REDEEMED,
2022-C-000665,REDEEMED,
2022-C-000666,REDEEMED,
2022-C-000667,CERTIFIED,05/10/2023
2022-C-000668,REDEEMED,
2022-C-000669,REDEEMED,
2022-C-000670,REDEEMED,
2022-C-000671,REDEEMED,
2022-C-000672,REDEEMED,
2022-C-000673,REDEEMED,
2022-C-000674,REDEEMED,
2022-C-000675,CERTIFIED,05/10/2023
2022-C-000676,CERTIFIED,05/10/2023
