certificateOfSale,parcel,saleDate
2022-C-000427,CERTIFIED,05/18/2023
2022-C-000428,CERTIFIED,05/18/2023
2022-C-000429,CERTIFIED,05/18/2023
2022-C-000430,CERTIFIED,05/18/2023
2022-C-000431,CERTIFIED,05/18/2023
2022-C-000432,CERTIFIED,05/18/2023
2022-C-000433,CERTIFIED,05/18/2023
2022-C-000434,CERTIFIED,05/18/2023
2022-C-000435,CERTIFIED,05/18/2023
2022-C-000436,CERTIFIED,05/18/2023
2022-C-000437,CERTIFIED,05/18/2023
2022-C-000438,CERTIFIED,05/18/2023
2022-C-000439,CERTIFIED,05/18/2023
2022-C-000440,CERTIFIED,05/18/2023
2022-C-000441,CERTIFIED,05/18/2023
2022-C-000442,CERTIFIED,05/18/2023
2022-C-000443,CERTIFIED,05/18/2023
2022-C-000444,CERTIFIED,05/18/2023
2022-C-000445,CERTIFIED,05/18/2023
2022-C-000446,CERTIFIED,05/18/2023
2022-C-000447,CERTIFIED,05/18/2023
2022-C-000448,CERTIFIED,05/18/2023
2022-C-000449,CERTIFIED,05/18/2023
2022-C-000450,CERTIFIED,05/18/2023
2022-C-000451,CERTIFIED,05/18/2023
2022-C-000452,CERTIFIED,05/18/2023
2022-C-000453,CERTIFIED,05/18/2023
2022-C-000454,CERTIFIED,05/18/2023
2022-C-000455,CERTIFIED,05/18/2023
2022-C-000456,CERTIFIED,05/18/2023
2022-C-000457,CERTIFIED,05/18/2023
2022-C-000458,CERTIFIED,05/18/2023
2022-C-000459,CERTIFIED,05/18/2023
2022-C-000460,CERTIFIED,05/18/2023
2022-C-000461,CERTIFIED,05/18/2023
2022-C-000462,CERTIFIED,05/18/2023
2022-C-000463,CERTIFIED,05/18/2023
2022-C-000464,CERTIFIED,05/18/2023
2022-C-000465,CERTIFIED,05/18/2023
2022-C-000466,CERTIFIED,05/18/2023
2022-C-000467,CERTIFIED,05/18/2023
2022-C-000468,CERTIFIED,05/18/2023
2022-C-000469,CERTIFIED,05/18/2023
2022-C-000470,CERTIFIED,05/18/2023
2022-C-000471,CERTIFIED,05/18/2023
2022-C-000472,CERTIFIED,05/18/2023
2022-C-000473,CERTIFIED,05/18/2023
2022-C-000474,CERTIFIED,05/18/2023
2022-C-000475,CERTIFIED,05/18/2023
2022-C-000476,CERTIFIED,05/18/2023
2022-C-000477,CERTIFIED,05/18/2023
2022-C-000478,CERTIFIED,05/18/2023
2022-C-000479,CERTIFIED,05/18/2023
2022-C-000480,CERTIFIED,05/18/2023
2022-C-000481,CERTIFIED,05/18/2023
